id,race_id,state_abbrev,state,office_id,office_name,office_seat_name,cycle,stage,special,party,politician_id,candidate_id,candidate_name,ballot_party,votes,percent,unopposed,winner,alt_result_text,source
29606,8988,NJ,New Jersey,346,Governor,,2021,general,false,"",12648,28598,Gregg C. Mele,LIB,7768,0.29706839992259704,,false,,https://nj.gov/state/elections/assets/pdf/election-results/2021/2021-official-general-results-governor.pdf
29610,8989,VA,Virginia,536,Governor,,2021,general,false,"",17673,28573,Princess Blanding,OTH,23125,0.7030093359639815,,false,,https://results.elections.virginia.gov/vaelections/2021%20November%20General/Site/Statewide.html
29609,8989,VA,Virginia,536,Governor,,2021,general,false,"",9665,21377,Terry R. McAuliffe,DEM,1600116,48.644172394609406,,false,,https://results.elections.virginia.gov/vaelections/2021%20November%20General/Site/Statewide.html
29608,8989,VA,Virginia,536,Governor,,2021,general,false,"",14603,21376,Glenn Youngkin,REP,1663596,50.5739900225875,,true,,https://results.elections.virginia.gov/vaelections/2021%20November%20General/Site/Statewide.html
29611,8989,VA,Virginia,536,Governor,,2021,general,false,"","",,"","",2593,0.07882824683911802,,"",Write-in,https://results.elections.virginia.gov/vaelections/2021%20November%20General/Site/Statewide.html
29605,8988,NJ,New Jersey,346,Governor,,2021,general,false,"",9613,28599,Madelyn R. Hoffman,GRE,8450,0.3231498428612184,,false,,https://nj.gov/state/elections/assets/pdf/election-results/2021/2021-official-general-results-governor.pdf
29607,8988,NJ,New Jersey,346,Governor,,2021,general,false,"",17684,28600,Joanne S. Kuniansky,SWP,4012,0.15342925083540926,,false,,https://nj.gov/state/elections/assets/pdf/election-results/2021/2021-official-general-results-governor.pdf
29603,8988,NJ,New Jersey,346,Governor,,2021,general,false,"",8263,20855,Philip Murphy,DEM,1339471,51.2248335109064,,true,,https://nj.gov/state/elections/assets/pdf/election-results/2021/2021-official-general-results-governor.pdf
29604,8988,NJ,New Jersey,346,Governor,,2021,general,false,"",14332,20856,Jack M. Ciattarelli,REP,1255185,48.00151899547437,,false,,https://nj.gov/state/elections/assets/pdf/election-results/2021/2021-official-general-results-governor.pdf
3094,7826,VT,Vermont,550,Governor,,2020,general,false,"",11120,16072,Kevin Hoyt,IND,4576,1.2616104832773198,,false,,https://electionresults.vermont.gov/Index.html#/state
3095,7826,VT,Vermont,550,Governor,,2020,general,false,"",6751,17008,Emily Peyton,OTH,3505,0.966334078646636,,false,,https://electionresults.vermont.gov/Index.html#/state
3102,7826,VT,Vermont,550,Governor,,2020,general,false,"","",,"","",8087,2.2295987714737078,,"",Blank,https://electionresults.vermont.gov/Index.html#/state
3101,7826,VT,Vermont,550,Governor,,2020,general,false,"","",,"","",170,0.046869270576299034,,"",Overvote,https://electionresults.vermont.gov/Index.html#/state
3100,7826,VT,Vermont,550,Governor,,2020,general,false,"","",,"","",1599,0.4408468450088362,,"",Write-in,https://electionresults.vermont.gov/Index.html#/state
3068,7828,WV,West Virginia,577,Governor,,2020,general,false,"",11138,16096,Erika Klie Kolenich,LIB,22527,2.9301356392526574,,false,,https://results.enr.clarityelections.com/WV/106210/web.264614/#/summary
3067,7828,WV,West Virginia,577,Governor,,2020,general,false,"",11116,16068,Ben Salango,DEM,237024,30.83022460861286,,false,,https://results.enr.clarityelections.com/WV/106210/web.264614/#/summary
3066,7828,WV,West Virginia,577,Governor,,2020,general,false,"",8062,13493,James Justice,REP,497944,64.7686536490445,,true,,https://results.enr.clarityelections.com/WV/106210/web.264614/#/summary
3069,7828,WV,West Virginia,577,Governor,,2020,general,false,"",9641,16097,Daniel P. Lutz,MTP,11309,1.4709861030899944,,false,,https://results.enr.clarityelections.com/WV/106210/web.264614/#/summary
3098,7826,VT,Vermont,550,Governor,,2020,general,false,"",11118,16070,Michael A. Devost,IND,1160,0.3198138462853346,,false,,https://electionresults.vermont.gov/Index.html#/state
3099,7826,VT,Vermont,550,Governor,,2020,general,false,"",11119,16071,Charly Dickerson,UN,1037,0.2859025505154241,,false,,https://electionresults.vermont.gov/Index.html#/state
3096,7826,VT,Vermont,550,Governor,,2020,general,false,"",11121,16073,Erynn Hazlett Whitney,IND,1777,0.4899217283181376,,false,,https://electionresults.vermont.gov/Index.html#/state
3097,7826,VT,Vermont,550,Governor,,2020,general,false,"",11117,16069,Wayne Billado,IND,1431,0.39452897761578776,,false,,https://electionresults.vermont.gov/Index.html#/state
3093,7826,VT,Vermont,550,Governor,,2020,general,false,"",10039,14095,David Zuckerman,DEM,99214,27.35345771151137,,false,,https://electionresults.vermont.gov/Index.html#/state
