id,race_id,state_abbrev,state,office_id,office_name,office_seat_name,cycle,stage,special,party,politician_id,candidate_id,candidate_name,ballot_party,ranked_choice_round,votes,percent,unopposed,winner,alt_result_text,source
31595,10004,VA,Virginia,540,U.S. House,District 4,2023,general,true,"",19060,31111,Jennifer L. McClellan,DEM,"",82040,74.41134854696514,,true,,https://results.elections.virginia.gov/vaelections/2023%20February%20Special/Site/Congress.html
31597,10004,VA,Virginia,540,U.S. House,District 4,2023,general,true,"","",,"","","",129,0.1170046801872075,,"",Write-in,https://results.elections.virginia.gov/vaelections/2023%20February%20Special/Site/Congress.html
31596,10004,VA,Virginia,540,U.S. House,District 4,2023,general,true,"",10772,31112,Leon Benjamin Sr.,REP,"",28083,25.471646772847656,,false,,https://results.elections.virginia.gov/vaelections/2023%20February%20Special/Site/Congress.html
31189,9357,TN,Tennessee,492,U.S. House,District 9,2022,general,false,"",2766,29237,Steve Cohen,DEM,"",93800,70.04286204991114,,true,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
30842,9306,OH,Ohio,418,U.S. House,District 12,2022,general,false,"",18409,30115,Amy Rippel-Elton,DEM,"",84893,30.731943946683465,,false,,https://www.ohiosos.gov/elections/election-results-and-data/2022-official-election-results/
30845,9308,OH,Ohio,420,U.S. House,District 14,2022,general,false,"",3120,29195,David P. Joyce,REP,"",183389,61.74131731688595,,true,,https://www.ohiosos.gov/elections/election-results-and-data/2022-official-election-results/
30846,9308,OH,Ohio,420,U.S. House,District 14,2022,general,false,"",18220,29859,Matt Kilboy,DEM,"",113639,38.258682683114046,,false,,https://www.ohiosos.gov/elections/election-results-and-data/2022-official-election-results/
30847,9309,OH,Ohio,421,U.S. House,District 15,2022,general,false,"",17707,29196,Mike Carey,REP,"",143112,56.95977329443465,,true,,https://www.ohiosos.gov/elections/election-results-and-data/2022-official-election-results/
30848,9309,OH,Ohio,421,U.S. House,District 15,2022,general,false,"",18362,30051,Gary Josephson,DEM,"",108139,43.040226705565345,,false,,https://www.ohiosos.gov/elections/election-results-and-data/2022-official-election-results/
30849,9399,VA,Virginia,537,U.S. House,District 1,2022,general,false,"",18323,30006,"Herbert C. ""Herb"" Jones Jr.",DEM,"",147229,42.95621779647665,,false,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30850,9399,VA,Virginia,537,U.S. House,District 1,2022,general,false,"",3043,29244,Rob J. Wittman,REP,"",191828,55.96862946472857,,true,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30851,9399,VA,Virginia,537,U.S. House,District 1,2022,general,false,"",11066,30616,David Bruce Foster,IND,"",3388,0.98849863745908,,false,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30852,9399,VA,Virginia,537,U.S. House,District 1,2022,general,false,"","",,"","","",297,0.08665410133569858,,"",Write-in,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30856,9401,VA,Virginia,539,U.S. House,District 3,2022,general,false,"",2997,29246,"Robert C. ""Bobby"" Scott",DEM,"",139659,67.19220591772913,,true,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30857,9401,VA,Virginia,539,U.S. House,District 3,2022,general,false,"",18326,30009,Terry T. Namkung,REP,"",67668,32.556170315131105,,false,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30858,9401,VA,Virginia,539,U.S. House,District 3,2022,general,false,"","",,"","","",523,0.25162376713976425,,"",Write-in,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30859,9402,VA,Virginia,540,U.S. House,District 4,2022,general,false,"",9052,29247,A. Donald McEachin,DEM,"",159044,64.92174807533738,,true,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30860,9402,VA,Virginia,540,U.S. House,District 4,2022,general,false,"",10772,30010,Leon Benjamin Sr.,REP,"",85503,34.90231775914572,,false,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30861,9402,VA,Virginia,540,U.S. House,District 4,2022,general,false,"","",,"","","",431,0.17593416551690355,,"",Write-in,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30865,9404,VA,Virginia,542,U.S. House,District 6,2022,general,false,"",9056,30012,Jennifer Lynn Lewis,DEM,"",95410,35.437574749103014,,false,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30866,9404,VA,Virginia,542,U.S. House,District 6,2022,general,false,"",9057,29249,Ben L. Cline,REP,"",173352,64.3871130689289,,true,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30867,9404,VA,Virginia,542,U.S. House,District 6,2022,general,false,"","",,"","","",472,0.1753121819681021,,"",Write-in,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30868,9405,VA,Virginia,543,U.S. House,District 7,2022,general,false,"",9058,29250,Abigail A. Spanberger,DEM,"",143357,52.2076550493463,,true,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30886,9229,MT,Montana,312,U.S. House,District 1,2022,general,false,"",18113,29720,John Lamb,LIB,"",9593,3.8687691563155346,,false,,https://sosmt.gov/elections/results/
30869,9405,VA,Virginia,543,U.S. House,District 7,2022,general,false,"",18643,30433,Yesli I. Vega,REP,"",130586,47.556720929385634,,false,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30870,9405,VA,Virginia,543,U.S. House,District 7,2022,general,false,"","",,"","","",647,0.23562402126807241,,"",Write-in,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30875,9407,VA,Virginia,545,U.S. House,District 9,2022,general,false,"",18330,30015,Taysha Lee DeVaughan,DEM,"",66027,26.539036624971864,,false,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30876,9407,VA,Virginia,545,U.S. House,District 9,2022,general,false,"",2832,29252,H. Morgan Griffith,REP,"",182207,73.23667963600116,,true,,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30877,9407,VA,Virginia,545,U.S. House,District 9,2022,general,false,"","",,"","","",558,0.22428373902697837,,"",Write-in,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Congress.html
30891,9420,WV,West Virginia,578,U.S. House,District 1,2022,general,false,"",8582,29273,Carol Miller,REP,"",151511,66.68735365059244,,true,,https://results.enr.clarityelections.com/WV/115844/web.307039/#/summary
30892,9420,WV,West Virginia,578,U.S. House,District 1,2022,general,false,"",18340,30028,Lacy Watson,DEM,"",65428,28.798042219053155,,false,,https://results.enr.clarityelections.com/WV/115844/web.307039/#/summary
30893,9420,WV,West Virginia,578,U.S. House,District 1,2022,general,false,"",18805,30664,Belinda Fox-Spencer,IND,"",10257,4.5146041303544076,,false,,https://results.enr.clarityelections.com/WV/115844/web.307039/#/summary
30894,9421,WV,West Virginia,579,U.S. House,District 2,2022,general,false,"",4143,29272,Alexander X. Mooney,REP,"",160493,65.5686335391039,,true,,https://results.enr.clarityelections.com/WV/115844/web.307039/#/summary
30895,9421,WV,West Virginia,579,U.S. House,District 2,2022,general,false,"",18341,30029,Barry Lee Wendell,DEM,"",84278,34.4313664608961,,false,,https://results.enr.clarityelections.com/WV/115844/web.307039/#/summary
30940,9316,OR,Oregon,436,U.S. House,District 1,2022,general,false,"",18448,30162,Christopher A. Mann,REP,"",99042,31.924007955054584,,false,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30941,9316,OR,Oregon,436,U.S. House,District 1,2022,general,false,"",3053,29201,Suzanne Bonamici,DEM,"",210682,67.90870382248754,,true,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30942,9316,OR,Oregon,436,U.S. House,District 1,2022,general,false,"","",,"","","",519,0.1672882224578798,,"",Other,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30943,9317,OR,Oregon,437,U.S. House,District 2,2022,general,false,"",18231,29878,Joe Yetter,DEM,"",99882,32.35820083194029,,false,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30944,9317,OR,Oregon,437,U.S. House,District 2,2022,general,false,"",10647,29202,Cliff S. Bentz,REP,"",208369,67.50411434643445,,true,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30945,9317,OR,Oregon,437,U.S. House,District 2,2022,general,false,"","",,"","","",425,0.13768482162526402,,"",Other,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30946,9318,OR,Oregon,438,U.S. House,District 3,2022,general,false,"",2730,29203,Earl Blumenauer,DEM,"",212119,69.92918696881985,,true,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30947,9318,OR,Oregon,438,U.S. House,District 3,2022,general,false,"",10648,29879,Joanna Harbour,REP,"",79766,26.29642572214127,,false,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30948,9318,OR,Oregon,438,U.S. House,District 3,2022,general,false,"",17057,30666,David E. Delk,PRO,"",10982,3.620431603447025,,false,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30949,9318,OR,Oregon,438,U.S. House,District 3,2022,general,false,"","",,"","","",467,0.15395570559185584,,"",Other,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30950,9319,OR,Oregon,439,U.S. House,District 4,2022,general,false,"",10649,29880,Alek Skarlatos,REP,"",146055,43.07428696136866,,false,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30951,9319,OR,Oregon,439,U.S. House,District 4,2022,general,false,"",12590,30574,Mike A. Beilstein,PG,"",6033,1.7792418831120953,,false,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30952,9319,OR,Oregon,439,U.S. House,District 4,2022,general,false,"",18839,30715,Levi C. Leatherberry,IND,"",9052,2.6696001203266517,,false,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30953,9319,OR,Oregon,439,U.S. House,District 4,2022,general,false,"",18232,29881,Val Hoyle,DEM,"",171372,50.54073263594995,,true,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30954,9319,OR,Oregon,439,U.S. House,District 4,2022,general,false,"",18743,30575,Jim Howard,CON,"",6075,1.791628450175034,,false,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30955,9319,OR,Oregon,439,U.S. House,District 4,2022,general,false,"","",,"","","",490,0.1445099490676159,,"",Other,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30956,9320,OR,Oregon,440,U.S. House,District 5,2022,general,false,"",18233,29882,Lori Chavez-DeRemer,REP,"",178813,50.910079633747394,,true,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30957,9320,OR,Oregon,440,U.S. House,District 5,2022,general,false,"",8970,30197,Jamie McLeod-Skinner,DEM,"",171514,48.8319719388554,,false,,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
30958,9320,OR,Oregon,440,U.S. House,District 5,2022,general,false,"","",,"","","",906,0.25794842739719787,,"",Other,https://sos.oregon.gov/elections/Documents/results/november-general-2022.pdf
31017,9259,NY,New York,380,U.S. House,District 6,2022,general,false,"",3114,29164,Grace Meng,DEM,"",85049,63.891852096699076,,true,,https://www.elections.ny.gov/
31018,9259,NY,New York,380,U.S. House,District 6,2022,general,false,"",10612,30710,Tom Zmich,REP,"",44264,33.252700692639394,,false,,https://www.elections.ny.gov/
31019,9259,NY,New York,380,U.S. House,District 6,2022,general,false,"",10612,30710,Tom Zmich,CON,"",3240,2.434003936475502,,false,,https://www.elections.ny.gov/
31020,9259,NY,New York,380,U.S. House,District 6,2022,general,false,"",10612,30710,Tom Zmich,OTH,"",431,0.3237826224138708,,false,,https://www.elections.ny.gov/
31021,9259,NY,New York,380,U.S. House,District 6,2022,general,false,"","",,"","","",4578,3.439157413945941,,"",Blank,https://www.elections.ny.gov/
31022,9259,NY,New York,380,U.S. House,District 6,2022,general,false,"","",,"","","",0,0.0,,"",Void,https://www.elections.ny.gov/
31023,9259,NY,New York,380,U.S. House,District 6,2022,general,false,"","",,"","","",130,0.09766065177216521,,"",Scattering,https://www.elections.ny.gov/
31028,9260,NY,New York,381,U.S. House,District 7,2022,general,false,"","",,"","","",5253,3.542048764699536,,"",Blank,https://www.elections.ny.gov/
31024,9260,NY,New York,381,U.S. House,District 7,2022,general,false,"",3029,29165,Nydia M. Velázquez,DEM,"",95645,64.49252885963966,,true,,https://www.elections.ny.gov/
