id,race_id,state_abbrev,state,office_id,office_name,office_seat_name,cycle,stage,special,party,politician_id,candidate_id,candidate_name,ballot_party,votes,percent,unopposed,winner,alt_result_text,source
17560,6425,"",,1,U.S. President,,2004,primary,false,DEM,56,167,Al Sharpton Jr.,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17559,6425,"",,1,U.S. President,,2004,primary,false,DEM,139,173,Richard A. Gephardt,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17558,6425,"",,1,U.S. President,,2004,primary,false,DEM,32,172,Howard Dean,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17557,6425,"",,1,U.S. President,,2004,primary,false,DEM,44,165,John Edwards,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17556,6425,"",,1,U.S. President,,2004,primary,false,DEM,79,160,Joseph I. Lieberman,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17555,6425,"",,1,U.S. President,,2004,primary,false,DEM,41,162,Dennis J. Kucinich,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17554,6425,"",,1,U.S. President,,2004,primary,false,DEM,59,157,John Kerry,DEM,,,,true,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17588,6425,"",,1,U.S. President,,2004,primary,false,DEM,14291,20773,Florence Walker,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17561,6425,"",,1,U.S. President,,2004,primary,false,DEM,138,155,Lyndon LaRouche,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17645,6427,"",,1,U.S. President,,2008,primary,false,DEM,12973,18742,William Keefe,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17696,6429,"",,1,U.S. President,,2012,primary,false,DEM,14300,20790,Michael W.R. Meyer,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17692,6429,"",,1,U.S. President,,2012,primary,false,DEM,16,16,Barack Obama,DEM,,,,true,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17693,6429,"",,1,U.S. President,,2012,primary,false,DEM,11634,18846,Vermin Love Supreme,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17694,6429,"",,1,U.S. President,,2012,primary,false,DEM,8502,20785,John Wolfe,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17695,6429,"",,1,U.S. President,,2012,primary,false,DEM,7684,20789,Luis Alberto Ramos,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17697,6429,"",,1,U.S. President,,2012,primary,false,DEM,9582,20791,Darcy G. Richardson,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17698,6429,"",,1,U.S. President,,2012,primary,false,DEM,13079,20792,Robert Moulton-Ely,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17699,6429,"",,1,U.S. President,,2012,primary,false,DEM,14302,20793,Aldous C. Tyler,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17700,6429,"",,1,U.S. President,,2012,primary,false,DEM,14303,20794,Robert B. Jordan,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17701,6429,"",,1,U.S. President,,2012,primary,false,DEM,14304,20795,Robert Allen Greene,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17702,6429,"",,1,U.S. President,,2012,primary,false,DEM,12873,20796,Edward Thomas O'Donnell,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17703,6429,"",,1,U.S. President,,2012,primary,false,DEM,13023,20797,Cornelius Edward O'Connor,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17704,6429,"",,1,U.S. President,,2012,primary,false,DEM,14305,20798,Craig Freis,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17705,6429,"",,1,U.S. President,,2012,primary,false,DEM,14306,20799,John Davis Haywood,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17706,6429,"",,1,U.S. President,,2012,primary,false,DEM,14307,20800,Ed Cowan,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17707,6429,"",,1,U.S. President,,2012,primary,false,DEM,779,20801,Jim Rogers,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17708,6429,"",,1,U.S. President,,2012,primary,false,DEM,7371,20802,Keith Russell Judd,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17646,6427,"",,1,U.S. President,,2008,primary,false,DEM,12974,18743,Tom Laughlin,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17647,6427,"",,1,U.S. President,,2008,primary,false,DEM,77,92,Randolph Wilson Crow,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17648,6427,"",,1,U.S. President,,2008,primary,false,DEM,12877,18744,Michael P. Skok,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
17649,6427,"",,1,U.S. President,,2008,primary,false,DEM,4510,18745,Ole Savior,DEM,,,,false,,https://www.fec.gov/introduction-campaign-finance/election-and-voting-information/
