id,race_id,state_abbrev,state,office_id,office_name,office_seat_name,cycle,stage,special,party,politician_id,candidate_id,candidate_name,ballot_party,ranked_choice_round,votes,percent,unopposed,winner,alt_result_text,source
38454,9504,VA,Virginia,548,U.S. Senate,Class I,2024,general,false,"","",,"","","",8505,0.19142790134249366,,"",Write-in,https://enr.elections.virginia.gov/results/public/Virginia/elections/2024NovemberGeneral
37504,9532,VT,Vermont,552,U.S. Senate,Class I,2024,general,false,"",22897,37273,Justin Schoville,OTH,"",3339,0.9191940603381115,,false,,https://electionresults.vermont.gov/#/federal
37503,9532,VT,Vermont,552,U.S. Senate,Class I,2024,general,false,"",22896,37272,Matt Hill,LIB,"",4530,1.2470647179789291,,false,,https://electionresults.vermont.gov/#/federal
37502,9532,VT,Vermont,552,U.S. Senate,Class I,2024,general,false,"",22898,37274,Steve Berry,IND,"",7941,2.1860796744968383,,false,,https://electionresults.vermont.gov/#/federal
37501,9532,VT,Vermont,552,U.S. Senate,Class I,2024,general,false,"",18827,36897,Gerald Malloy,REP,"",116512,32.07461466250795,,false,,https://electionresults.vermont.gov/#/federal
37500,9532,VT,Vermont,552,U.S. Senate,Class I,2024,general,false,"",37,36896,Bernie Sanders,IND,"",229429,63.159560967149616,,true,,https://electionresults.vermont.gov/#/federal
37508,9532,VT,Vermont,552,U.S. Senate,Class I,2024,general,false,"","",,"","","",9336,2.5701095379804157,,"",Blank,https://electionresults.vermont.gov/#/federal
37507,9532,VT,Vermont,552,U.S. Senate,Class I,2024,general,false,"","",,"","","",296,0.0814859065169455,,"",Overvote,https://electionresults.vermont.gov/#/federal
37506,9532,VT,Vermont,552,U.S. Senate,Class I,2024,general,false,"","",,"","","",398,0.10956550943832534,,"",Write-in,https://electionresults.vermont.gov/#/federal
37505,9532,VT,Vermont,552,U.S. Senate,Class I,2024,general,false,"",10038,37299,Mark Stewart Greenstein,OTH,"",1104,0.30392040809022913,,false,,https://electionresults.vermont.gov/#/federal
37535,9535,WY,Wyoming,585,U.S. Senate,Class I,2024,general,false,"","",,"","","",6860,2.5968913015498063,,"",Undervote,https://sos.wyo.gov/Elections/Docs/2024/Results/General/2024_General_Statewide_Candidates_Summary.pdf
37534,9535,WY,Wyoming,585,U.S. Senate,Class I,2024,general,false,"","",,"","","",101,0.03823411391494613,,"",Overvote,https://sos.wyo.gov/Elections/Docs/2024/Results/General/2024_General_Statewide_Candidates_Summary.pdf
37533,9535,WY,Wyoming,585,U.S. Senate,Class I,2024,general,false,"","",,"","","",2017,0.7635466115489737,,"",Write-in,https://sos.wyo.gov/Elections/Docs/2024/Results/General/2024_General_Statewide_Candidates_Summary.pdf
37532,9535,WY,Wyoming,585,U.S. Senate,Class I,2024,general,false,"",22681,36901,Scott D. Morrow,DEM,"",63727,24.124211657997744,,false,,https://sos.wyo.gov/Elections/Docs/2024/Results/General/2024_General_Statewide_Candidates_Summary.pdf
37531,9535,WY,Wyoming,585,U.S. Senate,Class I,2024,general,false,"",1069,36902,John Barrasso,REP,"",198418,75.11224173045328,,true,,https://sos.wyo.gov/Elections/Docs/2024/Results/General/2024_General_Statewide_Candidates_Summary.pdf
37610,9515,MI,Michigan,279,U.S. Senate,Class I,2024,general,false,"","",,"","","",4,7.172074380866197e-05,,"",Write-in,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=11-5-2024
37609,9515,MI,Michigan,279,U.S. Senate,Class I,2024,general,false,"",10956,37303,Doug Dern,NLP,"",18779,0.33671096199571576,,false,,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=11-5-2024
37608,9515,MI,Michigan,279,U.S. Senate,Class I,2024,general,false,"",22916,37302,Douglas P. Marsh,GRE,"",53978,0.967835577325989,,false,,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=11-5-2024
